CUSEC;COD_POSTAL;yieldPisos;yieldCasas
0100101001;01240;--;-
0100101002;01240;--;-
0100201001;01468;+;--
0100201002;01468;+;--
0100201003;01468;+;--
0100201004;01468;+;--
0100201005;01468;+;--
0100201006;01468;+;--
0100201007;01468;+;--
0100301001;01169;=;=
0100401001;01478;++;=
0100601001;01220;--;-
0100801001;01520;++;++
0100901001;01250;++;=
0101001001;01477;++;=
0101001002;01477;++;=
0101101001;01307;++;-
0101301001;01206;++;=
0101401001;01211;++;--
0101601001;01216;++;+
0101701001;01117;++;-
0101801001;01138;++;+
0101901001;01308;=;++
0102001001;01439;++;--
0102101001;01192;=;++
0102201001;01340;=;=
0102301001;01309;=;++
0102701001;01207;++;-
0102801001;01330;=;=
0103001001;01118;++;-
0103101001;01300;=;++
0103201001;01308;=;++
0103301001;01306;-;++
0103401001;01309;=;++
0103601001;01400;=;=
0103601002;01400;=;=
0103601003;01400;=;=
0103601004;01400;=;=
0103601005;01400;=;=
0103601006;01400;=;=
0103601007;01400;=;=
0103601008;01400;=;=
0103601009;01400;=;=
0103601010;01400;=;=
0103601011;01400;=;=
0103601012;01400;=;=
0103601013;01400;=;=
0103701001;01129;++;=
0103901001;01322;-;-
0104101001;01309;=;++
0104201001;01409;-;++
0104301001;01322;-;-
0104301002;01322;-;-
0104401001;01212;++;-
0104601001;01420;++;++
0104701001;01213;++;+
0104901001;01423;++;++
0105101001;01207;++;-
0105101002;01207;++;-
0105101003;01207;++;-
0105201001;01307;++;-
0105301001;01200;++;++
0105401001;01449;++;=
0105501001;01427;++;--
0105601001;01117;++;-
0105701001;01307;++;-
0105801001;01170;=;=
0105901001;01001;=;++
0105901003;01001;=;++
0105901004;01001;=;++
0105901005;01001;=;++
0105901007;01001;=;++
0105901008;01001;=;++
0105901009;01001;=;++
0105901010;01001;=;++
0105901012;01001;=;++
0105901013;01001;=;++
0105901014;01001;=;++
0105901015;01001;=;++
0105901016;01001;=;++
0105901017;01001;=;++
0105901018;01001;=;++
0105901019;01001;=;++
0105901020;01001;=;++
0105901021;01001;=;++
0105901022;01001;=;++
0105901023;01001;=;++
0105901024;01001;=;++
0105901025;01001;=;++
0105901026;01001;=;++
0105901027;01001;=;++
0105901029;01001;=;++
0105901030;01001;=;++
0105901031;01001;=;++
0105901032;01001;=;++
0105901033;01001;=;++
0105901034;01001;=;++
0105901035;01001;=;++
0105901036;01001;=;++
0105901037;01001;=;++
0105901038;01001;=;++
0105901039;01001;=;++
0105902001;01008;=;++
0105902002;01008;=;++
0105902003;01008;=;++
0105902004;01008;=;++
0105902005;01008;=;++
0105902006;01008;=;++
0105902008;01008;=;++
0105902009;01008;=;++
0105902010;01008;=;++
0105902011;01008;=;++
0105902012;01008;=;++
0105902013;01008;=;++
0105902014;01008;=;++
0105902015;01008;=;++
0105902016;01008;=;++
