SeccionCensal;F-of-M
0105902046;0,00Ê%
5029704068;2,99Ê%
4718607022;3,41Ê%
0105902044;3,84Ê%
2807918057;3,85Ê%
0200302024;3,91Ê%
3003001066;4,01Ê%
5029704069;4,04Ê%
1913003012;4,06Ê%
2800704033;4,09Ê%
2809204039;4,14Ê%
2807916124;4,28Ê%
2800601064;4,41Ê%
3002701057;4,49Ê%
3190701008;4,49Ê%
4701001008;4,50Ê%
3304406027;4,59Ê%
2804501024;4,67Ê%
2800601062;4,68Ê%
2807403023;4,71Ê%
2813401053;4,84Ê%
3302409018;4,90Ê%
4618601014;5,02Ê%
2809601012;5,16Ê%
2814802021;5,34Ê%
2800704034;5,38Ê%
5029704065;5,38Ê%
1913002009;5,45Ê%
0801910076;5,48Ê%
2800704035;5,49Ê%
2608904032;5,50Ê%
0105903040;5,54Ê%
2809204041;5,60Ê%
2813401050;5,61Ê%
4624403027;5,62Ê%
0105902045;5,62Ê%
2810601063;5,69Ê%
2807918060;5,76Ê%
2800504017;5,79Ê%
2814802026;5,82Ê%
3302409019;5,86Ê%
2807918062;5,88Ê%
0905905047;5,89Ê%
2812301037;5,89Ê%
2814802025;5,91Ê%
4624403025;5,96Ê%
2806503043;6,02Ê%
2811302015;6,04Ê%
5029704067;6,05Ê%
2801501012;6,07Ê%
5029709027;6,07Ê%
2817201006;6,13Ê%
4625016032;6,25Ê%
3003001065;6,33Ê%
2816102013;6,37Ê%
2806504035;6,40Ê%
4109107048;6,43Ê%
0810103026;6,46Ê%
2809601014;6,50Ê%
1102007019;6,54Ê%
2800704031;6,64Ê%
2807403021;6,68Ê%
0601508013;6,72Ê%
4103403006;6,73Ê%
2811301013;6,74Ê%
2809204043;6,77Ê%
5029704070;6,84Ê%
2906708066;6,86Ê%
2906708068;6,87Ê%
5029704063;6,88Ê%
2812701046;6,94Ê%
2806504034;6,96Ê%
4700701003;6,99Ê%
2800704032;7,04Ê%
4701001010;7,06Ê%
2814802023;7,17Ê%
4109107049;7,21Ê%
2812301040;7,24Ê%
0825201027;7,25Ê%
2890301024;7,27Ê%
4109301014;7,31Ê%
5029704072;7,33Ê%
2800704030;7,36Ê%
0401307045;7,37Ê%
0306502026;7,38Ê%
0601508014;7,38Ê%
5029704061;7,42Ê%
4622004001;7,45Ê%
2807918054;7,51Ê%
2104107021;7,57Ê%
1303401010;7,60Ê%
1102804010;7,65Ê%
4700701004;7,72Ê%
2814802019;7,79Ê%
2806503042;7,80Ê%
4619001045;7,82Ê%
5029704060;7,85Ê%
1102006048;7,86Ê%
0105902039;7,91Ê%
1102006044;7,96Ê%
0401307048;8,00Ê%
2814802022;8,08Ê%
0105902043;8,10Ê%
2810601054;8,11Ê%
2908201024;8,15Ê%
1904601016;8,15Ê%
1204008008;8,18Ê%
3907508020;8,24Ê%
5029704064;8,28Ê%
0105902041;8,30Ê%
4508102009;8,31Ê%
2807918056;8,38Ê%
2906708065;8,38Ê%
4109107051;8,39Ê%
4109109066;8,41Ê%
1303401009;8,50Ê%
2810601060;8,63Ê%
3004301030;8,67Ê%
