SeccionCensal;longitud;latitud
0000000000;;
0100101001;-2.511412;42.822612
0100101002;-2.510789;42.851777
0100201001;-2.99667;42.987938
0100201002;-2.947287;43.034594
0100201003;-3.007986;43.057505
0100201004;-3.00251;43.060785
0100201005;-2.998707;43.054978
0100201006;-2.96619;43.065494
0100201007;-2.983345;43.079952
0100301001;-2.59325;43.045896
0100401001;-3.141481;43.129663
0100601001;-2.873572;42.714189
0100801001;-2.613575;42.924262
0100901001;-2.31596;42.893616
0101001001;-3.082504;43.074226
0101001002;-2.999763;43.099884
0101101001;-2.675056;42.522781
0101301001;-2.493118;42.912065
0101401001;-2.833563;42.687086
0101601001;-2.523584;42.694017
0101701001;-2.360743;42.686919
0101801001;-2.730725;42.968767
0101901001;-2.514263;42.594809
0102001001;-2.935371;42.895588
0102101001;-2.547138;42.864536
0102201001;-2.624813;42.507168
0102301001;-2.54048;42.561877
0102701001;-2.475542;42.822852
0102801001;-2.808855;42.605579
0103001001;-2.61144;42.618696
0103101001;-2.573088;42.548525
0103201001;-2.499844;42.543991
0103301001;-2.570446;42.494684
0103401001;-2.637456;42.571386
0103601001;-2.963223;43.141771
0103601002;-2.961073;43.141115
0103601003;-2.960804;43.137664
0103601004;-2.949656;43.135444
0103601005;-2.94838;43.148886
0103601006;-2.959657;43.144783
0103601007;-2.957092;43.152849
0103601008;-2.984115;43.155255
0103601009;-2.982741;43.148208
0103601010;-2.968443;43.139886
0103601011;-2.987388;43.125696
0103601012;-2.960295;43.155552
0103601013;-2.969261;43.166964
0103701001;-2.445138;42.749057
0103901001;-2.415331;42.527001
0104101001;-2.631356;42.539561
0104201001;-3.017934;43.168218
0104301001;-2.433107;42.55969
0104301002;-2.432582;42.534597
0104401001;-2.705181;42.637989
0104601001;-2.925156;42.802549
0104701001;-2.902497;42.72475
0104901001;-2.991542;42.813657
0105101001;-2.367985;42.824469
0105101002;-2.398816;42.863761
0105101003;-2.401501;42.828577
0105201001;-2.676371;42.568779
0105301001;-2.39287;42.879033
0105401001;-2.920425;42.965781
0105501001;-3.128372;42.864121
0105601001;-2.319861;42.757389
0105701001;-2.66142;42.541156
0105801001;-2.647783;42.982891
0105901001;-2.672974;42.847401
0105901003;-2.673945;42.849303
0105901004;-2.673066;42.851162
0105901005;-2.671979;42.849056
0105901007;-2.67181;42.852352
0105901008;-2.670624;42.85084
0105901009;-2.669696;42.849323
0105901010;-2.670211;42.848116
0105901012;-2.671279;42.846166
0105901013;-2.672448;42.844846
0105901014;-2.66898;42.845753
0105901015;-2.669226;42.84355
0105901016;-2.672137;42.84358
0105901017;-2.67513;42.843278
0105901018;-2.671442;42.841622
0105901019;-2.676431;42.849989
0105901020;-2.677248;42.851382
0105901021;-2.678914;42.850946
0105901022;-2.680158;42.851337
0105901023;-2.675532;42.8515
0105901024;-2.674224;42.852239
0105901025;-2.676556;42.85297
0105901026;-2.67464;42.853349
0105901027;-2.67481;42.854383
0105901029;-2.677819;42.854315
0105901030;-2.67966;42.853898
0105901031;-2.675039;42.855483
0105901032;-2.678027;42.855744
0105901033;-2.67693;42.857565
0105901034;-2.674318;42.857373
0105901035;-2.675462;42.859754
0105901036;-2.677267;42.859423
0105901037;-2.678362;42.859127
0105901038;-2.680021;42.858761
0105901039;-2.679696;42.857032
0105902001;-2.678094;42.844531
0105902002;-2.681463;42.844273
0105902003;-2.678103;42.847047
0105902004;-2.680728;42.846895
0105902005;-2.676815;42.84848
0105902006;-2.679193;42.849011
0105902008;-2.683097;42.857054
0105902009;-2.686803;42.855973
0105902010;-2.683149;42.85375
0105902011;-2.681141;42.853691
0105902012;-2.681666;42.850838
0105902013;-2.683491;42.851133
0105902014;-2.68531;42.852643
0105902015;-2.686718;42.853138
0105902016;-2.690037;42.853667
0105902017;-2.690923;42.849352
0105902018;-2.684357;42.849381
0105902019;-2.682952;42.849391
0105902020;-2.681941;42.848786
0105902021;-2.682734;42.845865
0105902022;-2.683363;42.843448
0105902023;-2.684308;42.845112
0105902024;-2.68601;42.84607
0105902025;-2.68879;42.847054
